day_id,dpt_cty_cd,arrv_cty_cd,dpt_airpt_cd,arrv_airpt_cd,carr_cd,flt_nbr,cls_cd,sub_cls_cd,flt_rte_cd,flt_seg_dpt_hh,flt_seg_dpt_mm,flt_seg_arrv_dt,flt_seg_arrv_hh,flt_seg_arrv_mm,flt_seg_seq_nbr,aircrft_typ,flt_seg_dstnc,leg_qty,cls_cpc_qty,pax_qty,fc_pax_qty,grp_pax_qty,ffp_pax_qty,net_amt,y_fr_amt
2012/10/14,BCE,ACF,CCC,BCD,CG,1559,Y,B,FAC-CCC-BCD,13,45,2012/10/14,16,40,23,737,1943,2,0,0,0,0,0,1443.36,1680
2012/10/15,GDF,CEG,BEF,EAD,AC,1440,Y,N,BEF-EAD,18,0,2012/10/15,19,25,12,738,814,1,0,1,0,0,0,623.68,960
2012/5/2,AEC,EDG,FAC,ABD,FB,1723,Y,I,FAC-ABD-FCE,7,30,2012/5/2,9,30,12,320,1175,2,0,0,0,0,0,,1250
2012/9/19,CAD,GDF,EDB,BEF,CG,1625,Y,K,EDB-BEF,13,25,2012/9/19,14,40,12,320,819,1,0,0,0,0,0,695.93,860
2012/6/29,AFA,CGE,CED,ECD,CG,1153,Y,K,CED-ECD,23,55,2012/6/30,1,55,12,321,1780,1,0,0,0,0,0,,1830
2012/9/9,DBF,CFC,DFB,GAD,AD,1375,Y,T,DFB-BFF-GAD,8,40,2012/9/9,14,25,13,738,2632,2,0,0,0,0,0,,2380
2012/8/10,FAC,BBE,DAE,EGG,EA,1262,Y,B,DAE-ACD-EGG,22,10,2012/8/11,1,10,13,319,1053,2,0,0,0,0,0,1190.14,1360
2012/9/15,AFA,CEG,CED,EAD,CA,1093,Y,E,CED-EAD,13,35,2012/9/15,16,25,12,320,1880,1,0,0,0,0,0,1314.18,1890
2012/8/27,GFG,BCE,ACD,CCC,DF,1527,Y,Y,ACD-CCC,22,30,2012/8/28,0,30,12,738,1210,1,155,28,0,0,6,1260.82,1280
2012/6/24,CDE,EAG,FFE,CAG,CG,1059,Y,K,FFE-CAG,11,25,2012/6/24,13,35,12,320,1259,1,0,0,0,0,0,,1300
2012/8/6,GCC,EDF,FEC,FCE,ED,1002,Y,K,FEC-FCE,14,50,2012/8/6,18,35,12,320,2249,1,0,0,0,0,0,1919.71,2310
2012/8/5,DEF,GCC,ECE,FEC,DF,1241,Y,H,ECE-FEC,8,0,2012/8/5,10,0,12,738,1091,1,0,0,0,0,0,1026.6,1190
2012/8/15,AEC,EEF,FAC,CFA,AC,1028,Y,X,FAC-FBF-CFA,20,25,2012/8/15,23,55,13,738,1581,2,0,0,0,0,0,,1650
2012/9/17,ADB,GAD,AEF,CCG,ED,1298,C,C,AEF-CCG,17,50,2012/9/17,20,15,12,321,1081,1,0,0,0,0,0,,1260
2012/9/22,ACF,ADB,BCD,AEF,CF,1292,Y,S,BCD-AEF,14,5,2012/9/22,18,25,12,738,2803,1,0,0,0,0,0,964.94,2460
2012/8/30,CEG,CAG,EAD,AEA,CG,1754,Y,G,EAD-AEA,13,10,2012/8/30,15,5,12,320,963,1,0,0,0,0,0,,1030
2012/10/6,CDE,EAG,FFE,CAG,CG,1059,Y,T,FFE-CAG,11,25,2012/10/6,13,35,12,320,1259,1,0,0,0,0,0,594.11,1300
2012/8/3,ADB,BCE,AEF,CCC,CG,1319,Y,X,AEF-EFC-CCC,12,20,2012/8/3,15,50,13,319,1412,2,0,5,0,0,2,896.93,1630
